http://www.bgmea.com.bd/member/details/120,"Favourite Garments Ltd.",hotmail.com,"Shahadat Hossain Chowdhury, Arun"
http://www.bgmea.com.bd/member/details/121,"Titash Garments International Ltd.",pradeshta.net,"Shirin Khurshid Jahan"
http://www.bgmea.com.bd/member/details/122,"Wills Garments Ltd.",willsgroup.com.bd,"Syed Badrul Alam"
http://www.bgmea.com.bd/member/details/123,"Dolphin Garments (Pvt) Ltd.",bangla.net,"Syed Harun-ur-Rashid"
http://www.bgmea.com.bd/member/details/124,"KKK Garments Ltd.",citechco.net,"B.M. Nurul Azim"
http://www.bgmea.com.bd/member/details/125,"Capital Garments Ltd.",bangla.net,"Mayen Uddin Biswas (Babu)"
http://www.bgmea.com.bd/member/details/126,"Setara Garments Ltd.",bijoy.net,"Anwar Kamal Pasha"
http://www.bgmea.com.bd/member/details/127,"Suman Fashion Garments Ltd.",sumanfashion.com,"A.Z. Enayet Rasul"
http://www.bgmea.com.bd/member/details/128,"Blue Bird Garments (Pvt) Ltd.","","Major Rafiq Hasan Farook (Retd)"
http://www.bgmea.com.bd/member/details/129,"Mascot Garments Ltd.",mascorgrp.com,"S.M. Rezaul Haque (Tapan)"
http://www.bgmea.com.bd/member/details/130,"Jeacon Garments Ltd.",jeaconbd.com,"Mahmud-Ul Hoq"
http://www.bgmea.com.bd/member/details/131,"Posh Garments Ltd.",citechco.net,"Abu Jaffar"
http://www.bgmea.com.bd/member/details/132,"Aleef Fashion Wear Ltd.","","Sadika Akhter Hena"
http://www.bgmea.com.bd/member/details/133,"Excel Apparels Ltd.",shirtmakersltd.com,"Faroque Ahmed"
http://www.bgmea.com.bd/member/details/134,"Apollo Garments Inds. (Pvt.) Ltd.",bijoy.net,"Mostafa Golam Liton (Yahia)"
http://www.bgmea.com.bd/member/details/135,"Ha-Meem Fashions Ltd.",citechco.net,"A.K. Azad"
http://www.bgmea.com.bd/member/details/136,"Medona Garments Ltd.",citechco.net,"Md. Akhtaruzzaman"
http://www.bgmea.com.bd/member/details/137,"Noami Dresses Ltd.","","Mrs. Runa Haider"
http://www.bgmea.com.bd/member/details/138,"Gemini Garments Ltd.",hotmail.com,"A.M. Fazli Hussain"
