V2,norm,typ
Chowdury Knitwears Ltd.,CHOWDURY KNITWEARS,accord
Chunji Fashion Limited,CHUNJI FASHION,accord
Chunji Knit ltd.,CHUN JI KNIT,accord
CIDATEX APPAREL LIMITED,CIDATEX APPAREL,accord
CIVIC APPARELS LTD,CIVIC APPARELS,accord
CLAMOON,CLAMOON,accord
Classic Fashion Concept Ltd.,CLASSIC FASHION CONCEPT,accord
Classic Fashions (formerly Classic Textiles),CLASSIC FASHIONS FORMERLY CLASSIC TEXTILES,accord
Classic Shirts Ltd.,CLASSIC SHIRTS,accord
Claxton Apparels Textiles Ltd.,CLAXTON APPARELS TEXTILES,accord
CLEARTEX INDUSTRIES LIMITED,CLEARTEX INDUSTRIES,accord
Clifton Apparels,CLIFTON APPARELS,accord
CLIFTON TEXTILES & APPARELS LTD,CLIFTON TEXTILES & APPARELS,accord
COAST TO COAST (PVT.) LTD.,COAST TO COAST PVT,accord
Coeval Textiles Ltd.,COEVAL TEXTILES,accord
Colour & Fashion,COLOUR & FASHION,accord
Columbia Apparels Ltd,COLUMBIA APPARELS,accord
Columbia Garments Ltd.,COLUMBIA GARMENTS,accord
COMBINED APPAREL LTD,COMBINED APPAREL,accord
"Comfit composite knit limited , unit‚Äê2Amtola, Kathgora Bazar, Ashulia, Savar","COMFIT COMPOSITE KNIT LTD , UNIT‚ÄÊ2AMTOLA, KATHGORA BAZAR, ASHULIA, SAVAR",accord
Comfit Composite Knit Ltd,COMFIT COMPOSITE KNIT,accord
Comfit Composite Knit Ltd.( Unit‚Äê3),COMFIT COMPOSITE KNIT LTD UNIT‚ÄÊ3,accord
Comfort Apparels (PVT) LTD.,COMFORT APPARELS PVT,accord
Common Threads Ltd ( C T L ),COMMON THREADS LTD  C T L,accord
Comptex Textiles Ltd,COMPTEX TEXTILES,accord
Concept Knitting,CONCEPT KNITTING,accord
Concord Fashion Export Ltd.,CONCORD FASHION EXPORT,accord
Concorde Garments Limited,CONCORDE GARMENTS,accord
Confidence Knitwear Ltd.,CONFIDENCE KNITWEAR,accord
"connect fashions ltd,","CONNECT FASHIONS LTD,",accord
"Consumer Knitex Limited (CMT Bangladesh) Dhamsur,Bhaluka,Mymensingh","CONSUMER KNITEX LTD CMT BANGLADESH DHAMSUR,BHALUKA,MYMENSINGH",accord
CONTINENTAL APPARELS LIMITED,CONTINENTAL APPARELS,accord
"CONTINENTAL GARMENTS IND. (PVT.) LTD. PLOT 8, WARD 2, BLOCK B, DEWAN IDRIS ROAD,","CONTINENTAL GARMENTS IND PVT LTD PLOT 8, WARD 2, BLOCK B, DEWAN IDRIS ROAD,",accord
"Copper Co., Ltd","COPPER CO,",accord
Cordial Design LTD,CORDIAL DESIGN,accord
Cortz Apparels Limited,CORTZ APPARELS,accord
Cortz Apparels Ltd.,CORTZ APPARELS,accord
Cosmopolitan Industries PVT Ltd (Epic),COSMOPOLITAN INDUSTRIES PVT LTD EPIC,accord
COSMOS SWEATERS LTD.,COSMOS SWEATERS,accord
Cotton Club (BD) Ltd,COTTON CLUB BD,accord
Cotton Dyeing & Finishing Mills Ltd.,COTTON DYEING & FINISHING MILLS,accord
Cotton Field (BD) Limited,COTTON FIELD BD,accord
Cotton Harvest LTD,COTTON HARVEST,accord
Cotton Sourcing (Pvt) Ltd,COTTON SOURCING PVT,accord
Cotton Textile and Apparels Ltd.,COTTON TEXTILE AND APPARELS,accord
CPM composite knit pvt ltd,CPM COMPOSITE KNIT PVT,accord
Creative Apparels Ltd.,CREATIVE APPARELS,accord
Creative Woolwear,CREATIVE WOOLWEAR,accord
CRESCENT FASHION AND DESIGN LIMITED,CRESCENT FASHION AND DESIGN,accord
CRONY GROUP ABANTI,CRONY GROUP ABANTI,accord
Crony Tex Sweater Ltd.,CRONY TEX SWEATER,accord
CROSSLINE KNIT FABRICS LTD.,CROSSLINE KNIT FABRICS,accord
Crossline Woven Garments Ltd. (unit 1),CROSSLINE WOVEN GARMENTS LTD UNIT 1,accord
Crossline Woven Garments Ltd. (unit 2),CROSSLINE WOVEN GARMENTS LTD UNIT 2,accord
Crown Fashion & Sweater Ind. Ltd.,CROWN FASHION & SWEATER IND,accord
Crown Knitwear Ltd,CROWN KNITWEAR,accord
Crown Wears (Pvt.) Ltd.,CROWN WEARS PVT,accord
Crystal Composite Ltd,CRYSTAL COMPOSITE,accord
CUTTING EDGE INDUSTRIES LTD.,CUTTING EDGE INDUSTRIES,accord
D&S PRETTY FASHIONS LTD,D & S PRETTY FASHIONS,accord
D.S. Fashion Ltd.,DS FASHION,accord
DADA DHAKA LTD.,DADA DHAKA,accord
Daeyu Bangladesh LTD,DAEYU BANGLADESH,accord
Dana Sweater Industries Ltd,DANA SWEATER INDUSTRIES,accord
Day Apparels Ltd.,DAY APPARELS,accord
Day Fashions Ltd.,DAY FASHIONS,accord
DAZZLING DRESSES LIMITED,DAZZLING DRESSES,accord
Debonair Limited,DEBONAIR,accord
"Debonair Limited Unit‚Äê2Plot # 356, Shorifpur, Ozarpara, National","DEBONAIR LTD UNIT‚ÄÊ2PLOT # 356, SHORIFPUR, OZARPARA, NATIONAL",accord
DEKKO APPARELS,DEKKO APPARELS,accord
Dekko Apparels Ltd.,DEKKO APPARELS,accord
Dekko Designs Ltd,DEKKO DESIGNS,accord
Dekko Fashions Ltd,DEKKO FASHIONS,accord
Dekko Garments Ltd.,DEKKO GARMENTS,accord
DEKKO KNITWEARS LTD.,DEKKO KNITWEARS,accord
"DEKKO KNITWEARS LTD. UNIT ‚Äê 2Plot # M / 2 ‚Äê 1, Road # 7, Section # 7, Mirpur I /","DEKKO KNITWEARS LTD UNIT ‚ÄÊ 2PLOT # M / 2 ‚ÄÊ 1, ROAD # 7, SECTION # 7, MIRPUR I /",accord
Dekko Ready Wear Ltd.,DEKKO READY WEAR,accord
Delicate Garments LTD.,DELICATE GARMENTS,accord
