V2,norm,typ
Vision Wears Ltd.,VISION WEARS,BGMEA
Navana Textiles Ltd. (S-U),NAVANA TEXTILES LTD SU,BGMEA
Loadstar Sweaters Ltd.,LOADSTAR SWEATERS,BGMEA
ESE Knitwear Ltd.,ESE KNITWEAR,BGMEA
Creative Woolwear Ltd.,CREATIVE WOOLWEAR,BGMEA
M.I.M. Dresses Ltd.,MIM DRESSES,BGMEA
Dhaka Pullovers Ltd.,DHAKA PULLOVERS,BGMEA
Commitment Knitwear Ltd.,COMMITMENT KNITWEAR,BGMEA
Intramex Sweater Ltd.,INTRAMEX SWEATER,BGMEA
Green Leaf Apparels Ltd.,GREEN LEAF APPARELS,BGMEA
Waltz Fashions Ltd.,WALTZ FASHIONS,BGMEA
SAM Sweaters Ltd.,SAM SWEATERS,BGMEA
Crescent Fashion And Design Ltd.,CRESCENT FASHION AND DESIGN,BGMEA
Madinaple Fashions Craft Ltd.,MADINAPLE FASHIONS CRAFT,BGMEA
Landmark Sweaters Ltd.,LANDMARK SWEATERS,BGMEA
La-Belle Sweater (Pvt) Ltd.,LABELLE SWEATER PVT,BGMEA
Scandex Knitwear Ltd.,SCANDEX KNITWEAR,BGMEA
AKH Knitting & Dyeing Ltd.,AKH KNITTING & DYEING,BGMEA
Alauddin Garments Ltd.,ALAUDDIN GARMENTS,BGMEA
Tamizuddin Fashions ltd.,TAMIZUDDIN FASHIONS,BGMEA
Arunima Sports Wear Ltd.,ARUNIMA SPORTS WEAR,BGMEA
Ha-Meem Design Ltd.,HAMEEM DESIGN,BGMEA
Refat Garments Ltd.,REFAT GARMENTS,BGMEA
That's It Garments Ltd.,THATS IT GARMENTS,BGMEA
Alliance Stitches Ltd.,ALLIANCE STITCHES,BGMEA
Imperial Sweaters (BD) Ltd.,IMPERIAL SWEATERS BD,BGMEA
Amity Sweaters Ltd.,AMITY SWEATERS,BGMEA
Passion Jeans Ltd.,PASSION JEANS,BGMEA
Asha Creations Ltd.,ASHA CREATIONS,BGMEA
Dynasty Sweater (BD) Ltd.,DYNASTY SWEATER BD,BGMEA
ARN Sweaters Ltd.,ARN SWEATERS,BGMEA
Stylo Fashion Garments Ltd.,STYLO FASHION GARMENTS,BGMEA
Al-Sahabi Modemaker Ltd.,ALSAHABI MODEMAKER,BGMEA
Mccoy Sweater Ltd.,MCCOY SWEATER,BGMEA
Tex Town Ltd.,TEX TOWN,BGMEA
Sumis Sweaters Ltd.,SUMIS SWEATERS,BGMEA
United Designers Ltd.,UNITED DESIGNERS,BGMEA
Anlima Textile Ltd.,ANLIMA TEXTILE,BGMEA
F.B. Fashion (Pvt) Ltd.,FB FASHION PVT,BGMEA
ZAC Wears Ltd.,ZAC WEARS,BGMEA
Wax-Bill Sweater Ltd.,WAXBILL SWEATER,BGMEA
Hydroxide Knitwear Ltd.,HYDROXIDE KNITWEAR,BGMEA
Jinnat Fashions Ltd.,JINNAT FASHIONS,BGMEA
Naila Fashion (Pvt) Ltd.,NAILA FASHION PVT,BGMEA
Mercantile Fashions Ltd.,MERCANTILE FASHIONS,BGMEA
Sinha Stylewears Ltd.,SINHA STYLEWEARS,BGMEA
Exotic Sweaters Ltd.,EXOTIC SWEATERS,BGMEA
Prime Product Ltd.,PRIME PRODUCT,BGMEA
YNL Apparel Ltd.,YNL APPAREL,BGMEA
Gazipur Fashion Ltd.,GAZIPUR FASHION,BGMEA
D.S. Fashion Ltd.,DS FASHION,BGMEA
S.S. Sweater Ltd.,SS SWEATER,BGMEA
Prime Sweaters Ltd.,PRIME SWEATERS,BGMEA
The Cloth & Fashion Ltd.,THE CLOTH & FASHION,BGMEA
Karims Fashion Wear Ltd.,KARIMS FASHION WEAR,BGMEA
Padma Sweaters Ltd.,PADMA SWEATERS,BGMEA
Comfort Socks Ltd.,COMFORT SOCKS,BGMEA
D.K. Textile Ltd.,DK TEXTILE,BGMEA
Standard Group Ltd.,STANDARD GROUP,BGMEA
Xin Bangla Fabrics,XIN BANGLA FABRICS,BGMEA
Motherland Sweater Inds. Ltd.,MOTHERLAND SWEATER INDS,BGMEA
Biped Sweaters Ltd.,BIPED SWEATERS,BGMEA
Nafa Apparels Ltd.,NAFA APPARELS,BGMEA
SRT Fashions Ltd.,SRT FASHIONS,BGMEA
Centex Textile & Apparels Ltd.,CENTEX TEXTILE & APPARELS,BGMEA
A & A Fashion Sweaters Ltd.,A & A FASHION SWEATERS,BGMEA
Abanti Colour Tex. Ltd.,ABANTI COLOUR TEX,BGMEA
Casendra Sweater Ltd.,CASENDRA SWEATER,BGMEA
Seven Star Sweater (Pvt) Ltd.,SEVEN STAR SWEATER PVT,BGMEA
Ashique Dress Design Ltd.,ASHIQUE DRESS DESIGN,BGMEA
Cotton Field (BD) Ltd.,COTTON FIELD BD,BGMEA
Amex Apparel Ltd.,AMEX APPAREL,BGMEA
Fakir Knitwears Ltd.,FAKIR KNITWEARS,BGMEA
R.R. Acrylic Ltd.,RR ACRYLIC,BGMEA
AKR Fashions Ltd.,AKR FASHIONS,BGMEA
Ocean Trousers Ltd.,OCEAN TROUSERS,BGMEA
Samar Fashion Tex Ltd.,SAMAR FASHION TEX,BGMEA
Sattar Textile Mills Ltd.,SATTAR TEXTILE MILLS,BGMEA
Sana Sweaters,SANA SWEATERS,BGMEA
Hyun Apparels Ltd.,HYUN APPARELS,BGMEA
Giant Knit Fashions Ltd.,GIANT KNIT FASHIONS,BGMEA
Apex Jersey Ltd.,APEX JERSEY,BGMEA
Linkers Sweaters Ltd.,LINKERS SWEATERS,BGMEA
Tanaz Fashions Ltd.,TANAZ FASHIONS,BGMEA
Noorjahan Knitting Inds. Ltd.,NOORJAHAN KNITTING INDS,BGMEA
Sweater Heaven Ltd.,SWEATER HEAVEN,BGMEA
Noor Fashion,NOOR FASHION,BGMEA
Evitex Fashions Ltd.,EVITEX FASHIONS,BGMEA
Asra Sweaters Ltd.,ASRA SWEATERS,BGMEA
Powertex Fashions Ltd.,POWERTEX FASHIONS,BGMEA
Hamid Tex Fashion Ltd.,HAMID TEX FASHION,BGMEA
Mondol Fabrics Ltd.,MONDOL FABRICS,BGMEA
Centex Fashions Ltd.,CENTEX FASHIONS,BGMEA
Dream Top (BD) Ltd.,DREAM TOP BD,BGMEA
Sams Attire Ltd.,SAMS ATTIRE,BGMEA
Norp Knit Industries Ltd.,NORP KNIT INDUSTRIES,BGMEA
Odyssey Dresses Ltd.,ODYSSEY DRESSES,BGMEA
Fareast Dresses Ltd.,FAREAST DRESSES,BGMEA
S.S. Hi-Fashion Wear Ltd.,SS HIFASHION WEAR,BGMEA
Tusuka Trousers Ltd.,TUSUKA TROUSERS,BGMEA
Hot Dress Ltd.,HOT DRESS,BGMEA
Seasons Sweaters Ltd.,SEASONS SWEATERS,BGMEA
Cassiopea Apparels Ltd.,CASSIOPEA APPARELS,BGMEA
A.M. Design Ltd.,AM DESIGN,BGMEA
Jans Fabrics Ltd.,JANS FABRICS,BGMEA
P & M Fashions Ltd.,P & M FASHIONS,BGMEA
Teximco Sweaters Ltd.,TEXIMCO SWEATERS,BGMEA
Bengal Leisure Wear Ltd.,BENGAL LEISURE WEAR,BGMEA
Envoy Fashions Ltd.,ENVOY FASHIONS,BGMEA
Excellent Attire Ltd.,EXCELLENT ATTIRE,BGMEA
Birds RNR Fashions Ltd.,BIRDS RNR FASHIONS,BGMEA
Ansear S.C.M. Ltd.,ANSEAR SCM,BGMEA
Fashion Plus Ltd.,FASHION PLUS,BGMEA
Trust Sweater Ltd.,TRUST SWEATER,BGMEA
BP Wears (Pvt) Ltd.,BP WEARS PVT,BGMEA
Utah Fashions Ltd.,UTAH FASHIONS,BGMEA
Oriental Wool Wears Ltd.,ORIENTAL WOOL WEARS,BGMEA
SM Euro Fashion Ltd.,SM EURO FASHION,BGMEA
Civic Apparels Ltd.,CIVIC APPARELS,BGMEA
That's It Sports Wear Ltd.,THATS IT SPORTS WEAR,BGMEA
L.L. Knitwears Ltd.,LL KNITWEARS,BGMEA
Fahami Industries Ltd.,FAHAMI INDUSTRIES,BGMEA
Alliance Composite Industries,ALLIANCE COMPOSITE INDUSTRIES,BGMEA
AST Knitwear Ltd.,AST KNITWEAR,BGMEA
T-Mart Computerised Sweater Ltd.,TMART COMPUTERISED SWEATER,BGMEA
Knit Valley Ltd.,KNIT VALLEY,BGMEA
Modern Image Sweater (Pvt) Ltd.,MODERN IMAGE SWEATER PVT,BGMEA
Pentex Fashions Ltd.,PENTEX FASHIONS,BGMEA
Aamra Apparels Ltd.,AAMRA APPARELS,BGMEA
Interstoff Apparels Ltd.,INTERSTOFF APPARELS,BGMEA
Rupa Woolwear Ltd.,RUPA WOOL WEAR,BGMEA
Everbright Sweater Ltd.,EVERBRIGHT SWEATER,BGMEA
Bhuyan Warmtex (Pvt.) Ltd.,BHUYAN WARMTEX PVT,BGMEA
Gold Star Design Ltd.,GOLD STAR DESIGN,BGMEA
Tunic Fashions Ltd.,TUNIC FASHIONS,BGMEA
Pandora Sweaters Ltd.,PANDORA SWEATERS,BGMEA
Garments Export Village Ltd.,GARMENTS EXPORT VILLAGE,BGMEA
Tex-Tech Garments Ltd.,TEXTECH GARMENTS,BGMEA
Nowsin Garments Inds. Ltd.,NOWSIN GARMENTS INDS,BGMEA
Hardy Associates Ltd.,HARDY ASSOCIATES,BGMEA
Ayesha Clothing Co. Ltd.,AYESHA CLOTHING CO,BGMEA
Babi Sweaters Ltd.,BABI SWEATERS,BGMEA
Goldtex Garments Ltd.,GOLDTEX GARMENTS,BGMEA
Ratul Fabrics Ltd.,RATUL FABRICS,BGMEA
Mark Limited,MARK,BGMEA
Panna Fashions Ltd.,PANNA FASHIONS,BGMEA
MHC Apparels (Pvt) Ltd.,MHC APPARELS PVT,BGMEA
Saadatia Sweaters Ltd.,SAADATIA  SWEATERS,BGMEA
Nassa Basics Ltd.,NASSA BASICS,BGMEA
Nor-Pearl Knitwear Ltd.,NORPEARL KNITWEAR,BGMEA
Madina Wear House Ltd.,MADINA WEAR HOUSE,BGMEA
Bonded Fashion Ltd.,BONDED FASHION,BGMEA
Pimkie Apparels Ltd.,PIMKIE APPARELS,BGMEA
Moonlux Composite Knit Garments Ltd.,MOONLUX COMPOSITE KNIT GARMENTS,BGMEA
Mohammadi Fashions Ltd.,MOHAMMADI FASHIONS,BGMEA
MG Shirttex Ltd.,MG SHIRTTEX,BGMEA
MG Knit Flair Ltd.,MG KNIT FLAIR,BGMEA
RIO Fashion Wear Ltd.,RIO FASHION WEAR,BGMEA
Dana Sweater Inds. Ltd.,DANA SWEATER INDS,BGMEA
Concorde Knitting & Dyeing Inds. Ltd. (U-2),CONCORDE KNITTING & DYEING INDS LTD U2,BGMEA
A.J. Super Garments Ltd.,A J SUPER GARMENTS,BGMEA
Tex Knit International,TEX KNIT INTERNATIONAL,BGMEA
Tosrifa Indutries Ltd.,TOSRIFA INDUTRIES,BGMEA
S-21 Apparels Ltd.,S21 APPARELS,BGMEA
Noorun Nahar Knitwear Ltd.,NOORUN NAHAR KNITWEAR,BGMEA
Bentley Sweater Ltd.,BENTLEY SWEATER,BGMEA
Argyle Sweaters Ltd.,ARGYLE SWEATERS,BGMEA
A.K.J. Fashions Fabrics Ltd.,AKJ FASHIONS FABRICS,BGMEA
Tuba Fashion Ltd.,TUBA FASHION,BGMEA
Pasha Denims Ltd.,PASHA DENIMS,BGMEA
Islam Dresses Ltd.,ISLAM DRESSES,BGMEA
Evernal Industry Ltd.,EVERNAL INDUSTRY,BGMEA
4A Yarn Dyeing Ltd.,4A YARN DYEING,BGMEA
Atashi Fashion Ltd.,ATASHI FASHION,BGMEA
Woolen Design (Pvt.) Ltd.,WOOLEN DESIGN PVT,BGMEA
Rahnuma Fashion Wears Ltd.,RAHNUMA FASHION WEARS,BGMEA
Bengal Jeans Ltd.,BENGAL JEANS,BGMEA
Viyellatex Ltd.,VIYELLATEX,BGMEA
Denimach Ltd.,DENIMACH,BGMEA
Uttaran Woven & Knit Ltd.,UTTARAN WOVEN & KNIT,BGMEA
A.T.S. Apparels Ltd.,ATS APPARELS,BGMEA
Tanima Knit Composite Ltd.,TANIMA KNIT COMPOSITE,BGMEA
Meditex Sweater Ltd.,MEDITEX SWEATER,BGMEA
Designtex Fashions Ltd.,DESIGNTEX FASHIONS,BGMEA
Maxcom International (BD) Ltd.,MAXCOM INTERNATIONAL BD,BGMEA
Q-Point Fashions Ltd.,QPOINT FASHIONS,BGMEA
Bali Fashions Ltd.,BALI FASHIONS,BGMEA
Medlar Apparels Ltd.,MEDLAR APPARELS,BGMEA
Apex Textile Printing Mills Ltd.,APEX TEXTILE PRINTING MILLS,BGMEA
Fyne Sweaters Ltd.,FYNE SWEATERS,BGMEA
Trade Wind Sweaters Ltd.,TRADE WIND SWEATERS,BGMEA
P & O Attires Ltd.,P & O ATTIRES,BGMEA
MPL Wear Ltd.,MPL WEAR,BGMEA
Ananta Garments Ltd.,ANANTA GARMENTS,BGMEA
Ananta Jeanswear Ltd.,ANANTA JEANS WEAR,BGMEA
Hotapara Garments Ltd.,HOTAPARA GARMENTS,BGMEA
Lynda Fashions Ltd.,LYNDA FASHIONS,BGMEA
Fahami Knitwear Ltd.,FAHAMI KNITWEAR,BGMEA
Creatives Designers Ltd.,CREATIVES DESIGNERS,BGMEA
Winter Collection Ltd.,WINTER COLLECTION,BGMEA
Colour Stitch Ltd.,COLOUR STITCH,BGMEA
Earthee Wear Ltd.,EARTHEE WEAR,BGMEA
Envoy Design Ltd.,ENVOY DESIGN,BGMEA
Esses Fashions Ltd.,ESSES FASHIONS,BGMEA
Bando Design Ltd.,BANDO DESIGN,BGMEA
Dip Knitwear Limited,DIP KNITWEAR,BGMEA
Turjo Apparels Ltd.,TURJO APPARELS,BGMEA
Crystal Outerwear Manf. Co. (Pvt.) Ltd.,CRYSTAL OUTERWEAR MANF CO PVT,BGMEA
R.R. Apparels Ltd.,RR APPARELS,BGMEA
Eve Dress-Shirts Ltd.,EVE DRESSSHIRTS,BGMEA
Akik Apparels Ltd.,AKIK APPARELS,BGMEA
DSL Sportwear Ltd.,DSL SPORTWEAR,BGMEA
Tas Future Design Ltd.,TAS FUTURE DESIGN,BGMEA
Comfit Composite Knit Ltd.,COMFIT COMPOSITE KNIT,BGMEA
A One Dress Makers Ltd.,A ONE DRESS MAKERS,BGMEA
AKH Knitwear Ltd.,AKH KNITWEAR,BGMEA
Panwin Designs Ltd.,PANWIN DESIGNS,BGMEA
Snowtex Apparels Ltd.,SNOWTEX APPARELS,BGMEA
Mascot Knits Ltd.,MASCOT KNITS,BGMEA
Dazzling Fashions Ltd.,DAZZLING FASHIONS,BGMEA
Hy-Lan Sweater Int'l. Ltd.,HYLAN SWEATER INTL,BGMEA
Diganta Sweaters Ltd.,DIGANTA SWEATERS,BGMEA
Gramtech Knit Dye. Finishing & Gmts. Ind. Ltd.,GRAMTECH KNIT DYE FINISHING & GMTS IND,BGMEA
Dekko Readywears Ltd.,DEKKO READYWEARS,BGMEA
Pantaloon Design Ltd.,PANTALOON DESIGN,BGMEA
Monno Attire Ltd.,MONNO ATTIRE,BGMEA
Savar Shirts Ltd.,SAVAR SHIRTS,BGMEA
Tangail Apparels Ltd.,TANGAIL APPARELS,BGMEA
Hasan Tanvir Fashion Wears Ltd.,HASAN TANVIR FASHION WEARS,BGMEA
Juvenile Sweaters Ltd.,JUVENILE SWEATERS,BGMEA
Pratik Apparels Ltd.,PRATIK APPARELS,BGMEA
Blue Seal Textile Ltd.,BLUE SEAL TEXTILE,BGMEA
Golden Times Sweater & Dyeing Ltd.,GOLDEN TIMES SWEATER & DYEING,BGMEA
Sweater Cottage Ltd.,SWEATER COTTAGE,BGMEA
Mam Knit Inds. Ltd.,MAM KNIT INDS,BGMEA
Epyllion Style Ltd.,EPYLLION STYLE,BGMEA
Helicon Ltd.,HELICON,BGMEA
Intramex Knitwear Ltd.,INTRAMEX KNITWEAR,BGMEA
Mark Terry Ltd.,MARK TERRY,BGMEA
Y.K. Knitwear Ltd.,YK KNITWEAR,BGMEA
Kaizer Knitwears Ltd.,KAIZER KNITWEARS,BGMEA
Tasmia Apparels Ltd.,TASMIA APPARELS,BGMEA
Han Apparels Ltd.,HAN APPARELS,BGMEA
Kwun Tong Apparels Ltd.,KWUN TONG APPARELS,BGMEA
Sterling Creations Ltd.,STERLING CREATIONS,BGMEA
Rabab Fashion Ind. Ltd.,RABAB FASHION IND,BGMEA
Fair Washing Ltd.,FAIR WASHING,BGMEA
A Plus Industries Ltd.,A PLUS INDUSTRIES,BGMEA
Shanta Denims Ltd.,SHANTA DENIMS,BGMEA
KA Design Ltd.,KA DESIGN,BGMEA
Body Link Sweater Ltd.,BODY LINK SWEATER,BGMEA
Rowshan Apparels Ltd.,ROWSHAN APPARELS,BGMEA
Tex Tech Co. Ltd.,TEX TECH CO,BGMEA
Cosmopolitan Inds. (Pvt.) Ltd.,COSMOPOLITAN INDS PVT,BGMEA
Seam Line Ltd.,SEAM LINE,BGMEA
Rex Composite Knit Wears Ltd.,REX COMPOSITE KNIT WEARS,BGMEA
Aristo Fashions Ltd.,ARISTO FASHIONS,BGMEA
Dird Composite Textiles Ltd.,DIRD COMPOSITE TEXTILES,BGMEA
Proshadpur Knit Wear Ltd.,PROSHADPUR KNIT WEAR,BGMEA
S. Nahar & Sons Ltd.,S NAHAR & SONS,BGMEA
P.N. Composite Ltd.,PN COMPOSITE,BGMEA
Evitex Apparels Ltd.,EVITEX APPARELS,BGMEA
I.B. Apparels  Ltd.,IB APPARELS,BGMEA
Epcot Jeans Ltd.,EPCOT JEANS,BGMEA
Young Socks Ltd.,YOUNG SOCKS,BGMEA
The Rose Dresses Ltd.,THE ROSE DRESSES,BGMEA
Pritha Fashions Ltd.,PRITHA FASHIONS,BGMEA
Promod Knit Wear Ltd.,PROMOD KNIT WEAR,BGMEA
Designer Jeans Ltd.,DESIGNER JEANS,BGMEA
Babylon Casualwear Ltd.,BABYLON CASUALWEAR,BGMEA
M.P. Sweaters Ltd.,MP SWEATERS,BGMEA
Banex Apparel Ltd.,BANEX APPAREL,BGMEA
Voyager Dyeing & Finishing Mills Ltd.,VOYAGER DYEING & FINISHING MILLS,BGMEA
Shah Ali Knitwears,SHAH ALI KNITWEARS,BGMEA
Intramex Apparels Ltd.,INTRAMEX APPARELS,BGMEA
Bakhrabad Knitting Inds. Ltd.,BAKHRABAD KNITTING INDS,BGMEA
Sterling Design Ltd.,STERLING DESIGN,BGMEA
Ashulia Apparels Ltd.,ASHULIA APPARELS,BGMEA
Shenzhen Winterwears Ltd.,SHENZHEN WINTERWEARS,BGMEA
Omorfu Sweater Ltd.,OMORFU SWEATER,BGMEA
Swan Jeans Ltd.,SWAN JEANS,BGMEA
Geebee Garments Inds. Ltd.,GEEBEE GARMENTS INDS,BGMEA
Sharmin Fashions Ltd.,SHARMIN FASHIONS,BGMEA
Kaveri Sweaters,KAVERI SWEATERS,BGMEA
Meghna Knit Composite Ltd.,MEGHNA KNIT COMPOSITE,BGMEA
Prochesta Knit Textiles Ltd.,PROCHESTA KNIT TEXTILES,BGMEA
Knitsters Company Ltd.,KNITSTERS COMPANY,BGMEA
Tricotex Sweaters Ltd.,TRICOTEX SWEATERS,BGMEA
AKH Stitch Art Ltd.,AKH STITCH ART,BGMEA
KAC Composite Knit Inds. Ltd.,KAC COMPOSITE KNIT INDS,BGMEA
Givensee Garments Ltd.,GIVENSEE GARMENTS,BGMEA
Eurozone Fashion Ltd.,EUROZONE FASHION,BGMEA
Nandan Apparels,NANDAN APPARELS,BGMEA
Latin Fashions Ltd.,LATIN FASHIONS,BGMEA
T & Brothers Knit Composite Ltd.,T & BROTHERS KNIT COMPOSITE,BGMEA
Shams Styling Wears Ltd.,SHAMS STYLING WEARS,BGMEA
S.A. Composite Knit Wears Ltd.,SA COMPOSITE KNIT WEARS,BGMEA
Yolk Apparels Ltd.,YOLK APPARELS,BGMEA
Shamrin Tex Ltd.,SHAMRIN TEX,BGMEA
Sonia Fine Knit Ltd.,SONIA FINE KNIT,BGMEA
Rupayan Sweaters Ltd.,RUPAYAN SWEATERS,BGMEA
Esprit Apparels Ltd.,ESPRIT APPARELS,BGMEA
Shamsher Rezia Fashions Ltd.,SHAMSHER REZIA FASHIONS,BGMEA
Keya Knit Composite Ltd.,KEYA KNIT COMPOSITE,BGMEA
Global Woven Wear Ltd.,GLOBAL WOVEN WEAR,BGMEA
Design Express Ltd.,DESIGN EXPRESS,BGMEA
Nexus Fashion Ltd.,NEXUS FASHION,BGMEA
Tamanna Sweater Ltd.,TAMANNA SWEATER,BGMEA
Intraco Design Ltd.,INTRACO DESIGN,BGMEA
Inshallah Fashion Knit Wears,INSHALLAH FASHION KNIT WEARS,BGMEA
Adury Apparels Ltd.,ADURY APPARELS,BGMEA
Horizon Fashion Wear Ltd.,HORIZON FASHION WEAR,BGMEA
Old River Knitting Ltd.,OLD RIVER KNITTING,BGMEA
Tarasima Apparels Ltd.,TARASIMA APPARELS,BGMEA
Virtual Knitwear Ltd.,VIRTUAL KNITWEAR,BGMEA
Nassa Hi-Tech Wear Ltd.,NASSA HITECH WEAR,BGMEA
Global Nassa Wear Ltd.,GLOBAL NASSA WEAR,BGMEA
Pearl Prince Apparels Ltd.,PEARL PRINCE APPARELS,BGMEA
Bughshan Garments (Pvt) Ltd.,BUGHSHAN GARMENTS PVT,BGMEA
Rajdhani Fashions Ltd.,RAJDHANI FASHIONS,BGMEA
Mac-Tex Inds. Ltd.,MACTEX INDS,BGMEA
Fahami Shirts Ltd.,FAHAMI SHIRTS,BGMEA
Fahami Dresses Ltd.,FAHAMI DRESSES,BGMEA
Sag Fashion Ltd.,SAG FASHION,BGMEA
Lavender Garment Ltd.,LAVENDER GARMENT,BGMEA
Trend Force Garments (BD) Ltd.,TREND FORCE GARMENTS BD,BGMEA
Sterling Styles Ltd.,STERLING STYLES,BGMEA
Honesty Apparels Ltd.,HONESTY APPARELS,BGMEA
Majumder Fashions Ltd.,MAJUMDER FASHIONS,BGMEA
Sanguine Sweaters Ltd.,SANGUINE SWEATERS,BGMEA
Shin Shin Apparels Ltd.,SHIN SHIN APPARELS,BGMEA
H.R. Style Ltd.,HR STYLE,BGMEA
Pentagon Knit Com. Ltd.,PENTAGON KNIT COM,BGMEA
Fin Fashion Ltd.,FIN FASHION,BGMEA
Sinha Designers Ltd.,SINHA DESIGNERS,BGMEA
Alfa Patterns (Bangladesh) Ltd.,ALFA PATTERNS BANGLADESH,BGMEA
Zephyr Warmwears Ltd.,ZEPHYR WARMWEARS,BGMEA
T-Design Ltd.,TDESIGN,BGMEA
TNZ Apparels Ltd.,TNZ APPARELS,BGMEA
Needle-Wave Knitwear Ltd.,NEEDLEWAVE KNITWEAR,BGMEA
Noorjahan Apparels Ltd.,NOORJAHAN APPARELS,BGMEA
Vista Fashion Wear Ltd.,VISTA FASHION WEAR,BGMEA
Jeans Care Ltd.,JEANS CARE,BGMEA
Jamuna Denims Ltd. (Gmts & Washing Unit),JAMUNA DENIMS LTD GMTS & WASHING UNIT,BGMEA
Mark Mode Ltd.,MARK MODE,BGMEA
Texeurop (BD) Ltd.,TEXEUROP BD,BGMEA
Rahima Composite Ltd.,RAHIMA COMPOSITE,BGMEA
Decent Wear Ltd.,DECENT WEAR,BGMEA
Synergy Design Fashion (Pvt) Ltd.,SYNERGY DESIGN FASHION PVT,BGMEA
Tandem Sweaters Ltd.,TANDEM SWEATERS,BGMEA
Lifestyle Fashion Maker Ltd.,LIFESTYLE FASHION MAKER,BGMEA
Samia Garments (Pvt) Ltd.,SAMIA GARMENTS PVT,BGMEA
Adams Apparels Ltd.,ADAMS APPARELS,BGMEA
Dresden Textiles Ltd.,DRESDEN TEXTILES,BGMEA
Trust Knitwear Inds't Ltd.,TRUST KNITWEAR INDST,BGMEA
Artistic Design Ltd.,ARTISTIC DESIGN,BGMEA
Topaz Dresses Ltd.,TOPAZ DRESSES,BGMEA
N.K.L. Apparels Ltd.,NKL APPARELS,BGMEA
Kipling Apparel Ltd.,KIPLING APPAREL,BGMEA
J.M. Fabrics Ltd.,JM FABRICS,BGMEA
Adeeb Garments Ltd.,ADEEB GARMENTS,BGMEA
SMH New Generation Apparels Ltd.,SMH NEW GENERATION APPARELS,BGMEA
Sweater Land Ltd.,SWEATER LAND,BGMEA
Wear & Style Ltd.,WEAR & STYLE,BGMEA
Peninsula Dresses Int'l Ltd.,PENINSULA DRESSES INTL,BGMEA
Bhorari Knit Wear Ltd.,BHORARI KNIT WEAR,BGMEA
Target Fine-Knit Inds Ltd.,TARGET FINEKNIT INDS,BGMEA
Sinha Denimwear Ltd.,SINHA DENIM WEAR,BGMEA
Bonian Knit Fashion Ltd.,BONIAN KNIT FASHION,BGMEA
MARS Stitch Ltd.,MARS STITCH,BGMEA
Excom Fashions Ltd.,EXCOM FASHIONS,BGMEA
Shezads Desigwear Ltd.,SHEZADS DESIGWEAR,BGMEA
Cotton Club (BD) Ltd.,COTTON CLUB BD,BGMEA
Top Style Sweater Ltd.,TOP STYLE SWEATER,BGMEA
Rey-Tex Fashion Wears Ltd.,REYTEX FASHION WEARS,BGMEA
Arcadia Knitwears Ltd.,ARCADIA KNITWEARS,BGMEA
Apparel Today Ltd.,APPAREL TODAY,BGMEA
Glaze Knitwear Ltd.,GLAZE KNITWEAR,BGMEA
Concept Knitting Ltd.,CONCEPT KNITTING,BGMEA
Velox Fashions Ltd.,VELOX FASHIONS,BGMEA
Esha Composite Ind. Ltd.,ESHA COMPOSITE IND,BGMEA
Rupam Knitwear Ltd.,RUPAM KNITWEAR,BGMEA
Gulf Knitting & Textile Ltd.,GULF KNITTING & TEXTILE,BGMEA
Olio Apparels Ltd.,OLIO APPARELS,BGMEA
Trouser World (Pvt) Ltd.,TROUSER WORLD PVT,BGMEA
M.F. Apparels,MF APPARELS,BGMEA
CDF Design (BD),CDF DESIGN BD,BGMEA
Safaa Sweaters Ltd.,SAFAA SWEATERS,BGMEA
Advance World Ltd.,ADVANCE WORLD,BGMEA
Barobi Tex Ltd.,BAROBI TEX,BGMEA
Amazing Fashions Ltd.,AMAZING FASHIONS,BGMEA
Boston Design Ltd.,BOSTON DESIGN,BGMEA
Nirzhor Knitwear Ltd.,NIRZHOR KNITWEAR,BGMEA
Huda Wintry Fashions Ltd.,HUDA WINTRY FASHIONS,BGMEA
Shadhin Garments (Pvt.) Ltd.,SHADHIN GARMENTS PVT,BGMEA
Afrinad Knit Inds. Ltd.,AFRINAD KNIT INDS,BGMEA
Kims Corporation Ltd.,KIMS CORPORATION,BGMEA
Al-Tahsin Apparels Ltd.,ALTAHSIN APPARELS,BGMEA
Shoaib Apparels Ltd.,SHOAIB APPARELS,BGMEA
South West Composite Ltd.,SOUTH WEST COMPOSITE,BGMEA
Aster Apparels Ltd.,ASTER APPARELS,BGMEA
Tahmina Denim Ltd.,TAHMINA DENIM,BGMEA
Abu Apparels Ltd.,ABU APPARELS,BGMEA
Zaara Composite Textiles Ltd.,ZAARA COMPOSITE TEXTILES,BGMEA
Astro Knitwear Ltd.,ASTRO KNITWEAR,BGMEA
Your Fashion Sweater Ltd.,YOUR FASHION SWEATER,BGMEA
Merchandising Fashion Ltd.,MERCHANDISING FASHION,BGMEA
Unicom Knit Apparels Ltd.,UNICOM KNIT APPARELS,BGMEA
Jazz Sweaters Ltd.,JAZZ SWEATERS,BGMEA
Toyeabia Apparels Ltd.,TOYEABIA APPARELS,BGMEA
Knit & Knitwears Ltd.,KNIT & KNITWEARS,BGMEA
Robin Garments Ltd.,ROBIN GARMENTS,BGMEA
AB Mart Fashionwear Ltd.,AB MART FASHIONWEAR,BGMEA
Diadem Sweaters Ltd.,DIADEM SWEATERS,BGMEA
Farshe Dyeing Ltd.,FARSHE DYEING,BGMEA
