factory_name,oc id,oc name
Update Fashions Limited,/companies/bd/C-22090,Update Fashions Limited
Biswas Garments Ltd.,,
East West Services Ltd.,/companies/bd/C-20569,East West Services Ltd.
Dabstar and Associates Ltd.,,
Haque Wears Intl. (Pvt) Ltd.,,
Orient Dresses Ltd.,/companies/bd/C-22871,Orient Dresses Ltd.
Mifkif Apparel Ltd.,,
Mas Trade Int'l. Garments Ltd.,,
Gooryong Fashions Ltd.,,
Faman Raiments Ltd.,/companies/bd/C-21461,Faman Raiments Ltd.
Imperial Dyeing & Hosiery Mills Ltd.,,
Italia Garments Ltd.,/companies/bd/C-21953,Italia Garments Ltd.
Shifa Apparels (Pvt.) Ltd.,,
Concord Fashion Export Ltd.,,
Roots Fashions Ltd.,,
M.S. Fashions Ltd.,,
Alliance Fashion Ltd.,,
Chaity Garments Ltd.,,
Evince Limited.,,
Evince Ladies Wear Ltd.,,
Ashfatex Ltd.,,
Jnh Hatwears (Bangladesh) Limited,/companies/bd/C-22336,Jnh Hatwears (Bangladesh) Limited
Apparel Export Ltd.,,
F.R. Garments (Pvt.) Ltd.,/companies/bd/C-20404,F.R. Garments (Pvt.) Ltd.
Ocean Fashions Ltd.,/companies/bd/C-22069,Ocean Fashions Ltd.
Uttara Apparels Ltd.,/companies/bd/C-20647,Uttara Apparels Ltd.
Mascot Apparel Ltd.,,
Angel Fashion,,
Apex Spinning And Knitting Mills Ltd.,/companies/bd/C-20149,Apex Spinning And Knitting Mills Ltd.
Golam Murshed & Brothers Ltd.,,
Hope Fashions Ltd.,/companies/bd/C-35678,Hope Fashions Ltd.
Fortune Garments Ltd.,,
Abm Apparels Ltd.,/companies/bd/C-23147,Abm Apparels Ltd.
Federal Garments Ltd.,,
Sheffield Ltd.,,
Jessica Apparels Limited,,
Oriental Industrial Co. Ltd.,,
Active Apparels (Pvt.) Ltd.,,
Skyhawk Apparels Ltd.,,
Al-Muslim Garments Ltd.,,
Scissors Garments Ltd.,,
Tania Knit Ltd.,/companies/bd/C-20392,Tania Knit Ltd.
Searock Apparels Limited,,
Apparel Crafts Ltd.,,
Tiffiny's Wear Ltd.,,
Capital Fashions Limited,,
Aparupa Garments Industries Ltd. (U-2),,
Izafa Garments (Pvt.) Ltd.,/companies/bd/C-20610,Izafa Garments (Pvt.) Ltd.
Alif Apparels Ltd.,/companies/bd/C-21623,Alif Apparels Ltd.
Sharp Fashion Ltd.,,
Faiyaz Apparel Ltd.,,
Floret (Pvt.) Ltd.,,
Olympic Apparels Limited.,/companies/bd/C-22364,Olympic Apparels Limited.
Shikha Garments Ltd.,,
Islam Garments Ltd. (U-2),,
Classic Wears Ltd.,,
Fashion Zone Limited,/companies/bd/C-22393,Fashion Zone Limited
Taurus Styles Ltd.,,
Patriot Garments Ltd.,,
Waisi Apparels Ltd.,,
Wins Garments Limited,/companies/bd/C-22274,Wins Garments Limited
Bangladesh Dresses Limited,,
Zilani Apparels Limited.,/companies/bd/C-22772,Zilani Apparels Limited.
Alliance Fashion Wears Ltd.,,
Unitrade Fashions Ltd.,,
K.A.W. Garments Industry Limited.,/companies/bd/C-22385,K.A.W. Garments Industry Limited.
Civic Fashion Limited,,
Yemen Apparels Ltd.,,
Genesis Fashion Ltd.,,
Morshed Apparels Ltd.,,
R.M. Fashions Ltd.,,
Trade Sweater Factory Limited,/companies/bd/C-21806,Trade Sweater Factory Limited
Nomura Corporation Ltd.,,
Borax Apparels Ltd.,/companies/bd/C-21716,Borax Apparels Ltd.
Chancellor Garments Ltd.,,
Ever Fashion Ltd.,,
H.T.H. Garments Ltd.,/companies/bd/C-21100,H.T.H. Garments Ltd.
Union Garments Ltd.,,
Spider Fashion Ltd.,,
Sq Sweaters Limited,/companies/bd/C-22203,Sq Sweaters Limited
Queens Apparel Ltd.,,
Sterling Fashion Wear Ltd.,,
Zasaka Garments Limited,/companies/bd/C-21562,Zasaka Garments Limited
Needs Fashions (Pvt.) Ltd.,,
North Star Apparel Ltd.,,
Impressive Garments (Pvt.) Ltd.,,
Dekko Fashions Ltd.,,
Dekko Knitwears Limited,,
S. Islam Fashion Ltd.,,
Onus Apparels Limited,/companies/bd/C-22219,Onus Apparels Limited
Aba Garments Ltd.,/companies/bd/C-24416,Aba Garments Ltd.
Bismillah Knitwear Ltd.,,
MAM Garments Ltd.,,
Husham Dresses Limited,/companies/bd/C-21866,Husham Dresses Limited
Majumder Apparels Ltd.,,
Samata Prokousali (Gr.Dv.) Ltd.,,
Pacific Sweaters Ltd.,,
Crystal Apparels Ltd.,,
Jamuna Knitting & Dyeing Ltd.,,
Universal Fashion Wears Ltd.,,
Sajib Knitwear & Garments Ltd.,,
Oceania Fashion Apparels Ltd.,/companies/bd/C-22906,Oceania Fashion Apparels Ltd.
